a,b,km,csi
SL008,SL023,0.7855119317196819,0.8826979472140762
SL008,SL024,20.933453433656023,0.6754890678941312
SL008,SL025,15.716387045718234,0.712378640776699
SL008,SL026,12.840386825198326,0.7347480106100795
SL008,SL027,14.505433270323865,0.5759803921568627
SL008,SL028,12.519934831968389,0.8058252427184466
SL008,SL029,22.15391634160127,0.7079207920792079
SL008,SL032,13.979619979373567,0.8320610687022901
SL008,SL033,17.84502283238946,0.75
SL008,SL034,11.351946956538395,0.7064676616915423
SL008,SL035,16.943146587604446,0.6033898305084746
SL008,SL036,6.204668910147296,0.8444444444444444
SL008,SL037,26.816103434686006,0.8076923076923077
SL008,SL038,16.064449568418265,0.7086330935251799
SL008,SL040,11.560097346506646,0.7958833619210978
SL008,SL041,18.6543227962714,0.7167630057803468
SL008,SL042,19.58900790574069,0.6495901639344263
SL008,SL044,2.6514696935326927,0.8528951486697965
SL008,SL045,19.29481349290156,0.8264150943396227
SL008,SL050,17.332323667009653,0.3250825082508251
SL008,SL051,25.48241825624326,0.21973094170403587
SL008,SL054,22.73251331040703,0.7875
SL008,SL055,20.846533096758428,0.7477272727272727
SL008,SL056,15.453773532821508,0.5585585585585585
SL008,SL062,13.52477545527123,0.6550218340611353
SL008,SL068,14.713042626850255,0.7354085603112841
SL008,SL017,23.406051021580463,0.658703071672355
SL009,SL011,11.006125788301787,0.9222797927461139
SL009,SL012,13.066599410478464,0.8502202643171806
SL009,SL015,8.062425233224294,0.7514792899408284
SL009,SL016,4.008573064169434,0.9405405405405406
SL009,SL018,13.029107365488814,0.656934306569343
SL009,SL019,9.229390424019607,0.7201834862385321
SL009,SL020,9.9517430530077,0.9158878504672897
SL009,SL021,10.853363995059626,0.8248587570621468
SL009,SL022,9.907079502778172,0.608433734939759
SL009,SL023,15.424053141639883,0.9154929577464789
SL009,SL024,12.16048789553496,0.9074074074074074
SL009,SL025,1.40852797608444,0.8979591836734694
SL009,SL026,6.081784622277789,0.9120879120879121
SL009,SL027,5.6429656366457275,0.8413461538461539
SL009,SL029,11.64339844211349,0.9066666666666666
SL009,SL032,7.92973041203624,0.8536585365853658
SL009,SL033,2.1107512920560536,0.9245283018867925
SL009,SL034,9.817949984875218,0.8846153846153846
SL009,SL035,5.864704947644066,0.8873873873873874
SL009,SL036,9.816888231122658,0.8679245283018868
SL009,SL037,11.148185191715529,0.873015873015873
SL009,SL038,7.655398031484126,0.9026548672566371
SL009,SL040,7.089930858941209,0.9038461538461539
SL009,SL041,5.6642340774308595,0.9485294117647058
SL009,SL042,3.84341577190807,0.8910256410256411
SL009,SL044,15.009901622157052,0.8814432989690721
SL009,SL050,6.722961349704069,0.3333333333333333
SL009,SL054,13.480828158098118,0.8850574712643678
SL009,SL055,6.01732352964737,0.9054054054054054
SL009,SL056,5.917721798316223,0.7272727272727273
SL009,SL068,3.1347715589530303,0.7407407407407407
SL009,SL017,11.968365354543423,0.9
SL011,SL012,11.132595734541473,0.8228630278063852
SL011,SL015,18.199774593028863,0.6439232409381663
SL011,SL016,14.888404269019958,0.8323699421965318
SL011,SL018,14.282938760334465,0.6703470031545742
SL011,SL019,14.59214820011354,0.6100861008610086
SL011,SL020,15.380851053666143,0.8265734265734266
SL011,SL021,20.265231325537574,0.7487844408427877
SL011,SL022,1.1208094699257425,0.5655270655270656
SL011,SL023,7.822956172309565,0.8844086021505376
SL011,SL024,20.251754215792502,0.6720997123681688
SL011,SL025,10.15231019937048,0.8682634730538922
SL011,SL026,5.8497620033907065,0.8869936034115139
SL011,SL027,7.425369926843771,0.7348790322580645
SL011,SL028,11.806590567616995,0.6785714285714286
SL011,SL029,14.38885418261971,0.875
SL011,SL032,6.306498775947069,0.8516949152542372
SL011,SL033,13.113715260346263,0.821826280623608
SL011,SL034,3.4641323376848043,0.8329938900203666
SL011,SL035,9.784751461127726,0.7133550488599348
SL011,SL036,5.450757186991778,0.8782608695652174
SL011,SL037,22.089128983884446,0.8398268398268398
SL011,SL038,8.457379811935997,0.7574850299401198
SL011,SL040,4.459068760826296,0.8430493273542601
SL011,SL041,11.72542600773066,0.7936507936507936
SL011,SL042,13.81792460609132,0.7895622895622896
SL011,SL044,5.607179203959425,0.8590425531914894
SL011,SL045,17.934020124535476,0.875
SL011,SL050,15.250130623763797,0.2317596566523605
SL011,SL051,22.313290700108073,0.6902173913043478
SL011,SL054,21.971264799613,0.8028169014084507
SL011,SL055,14.326770081802492,0.8133971291866029
SL011,SL056,8.246824246788396,0.6752136752136753
SL011,SL062,8.324426299606833,0.8521739130434782
SL011,SL068,8.590716666134915,0.8302583025830258
SL011,SL017,21.56435872323005,0.7796610169491526
SL012,SL015,15.421252514326515,0.822380106571936
SL012,SL016,14.857200998434744,0.7719141323792487
